alpha        CL        CD        
     -3.00   -0.1592    0.0207
     -2.50   -0.1172    0.0184
     -2.00   -0.0605    0.0164
     -1.50    0.0045    0.0153
     -1.00    0.0759    0.0140
     -0.50    0.1454    0.0135
      0.00    0.2231    0.0126
      0.50    0.2904    0.0126
      1.00    0.3587    0.0125
      1.50    0.4284    0.0123
      2.00    0.5145    0.0114
      2.50    0.5755    0.0118
      3.00    0.6377    0.0119
      3.50    0.6940    0.0125
      4.00    0.7523    0.0129
      4.50    0.8117    0.0132
      5.00    0.8722    0.0134
      5.50    0.9126    0.0146
      6.00    0.9575    0.0155
      6.50    1.0070    0.0159
      7.50    1.0777    0.0177
      8.00    1.1206    0.0186
      8.50    1.1584    0.0199
      9.00    1.1971    0.0212
      9.50    1.2097    0.0243
     10.00    1.2342    0.0269
     10.50    1.2604    0.0295
     11.00    1.2882    0.0321
     11.50    1.3071    0.0356
     12.00    1.3226    0.0395
     12.50    1.3348    0.0438
     13.00    1.3448    0.0485
     13.50    1.3549    0.0534
     14.00    1.3661    0.0582
     14.50    1.3761    0.0633
     15.00    1.3847    0.0686
     15.50    1.3868    0.0747
     16.50    1.3671    0.0902
     17.00    1.3771    0.0954
     17.50    1.3797    0.1016
     18.00    1.3662    0.1101
     19.00    1.3103    0.1319
     19.50    1.3267    0.1363
     20.00    1.3422    0.1407
     21.00    1.2589    0.1577
     22.00    1.2350    0.1780
     23.00    1.2131    0.1993
     24.00    1.1934    0.2214
     25.00    1.1761    0.2442
     26.00    1.1611    0.2678
     27.00    1.1484    0.2920
     28.00    1.1379    0.3167
     29.00    1.1293    0.3420
     30.00    1.1225    0.3678
     31.00    1.1172    0.3941
     32.00    1.1132    0.4207
     33.00    1.1104    0.4477
     34.00    1.1085    0.4751
     35.00    1.1073    0.5028
     36.00    1.1067    0.5308
     37.00    1.1065    0.5590
     38.00    1.1066    0.5874
     39.00    1.1069    0.6160
     40.00    1.1071    0.6448
     41.00    1.1073    0.6737
     42.00    1.1073    0.7027
     43.00    1.1070    0.7318
     44.00    1.1063    0.7609
     45.00    1.1052    0.7899
     46.00    1.1036    0.8190
     47.00    1.1014    0.8480
     48.00    1.0985    0.8769
     49.00    1.0950    0.9056
     50.00    1.0907    0.9342
     51.00    1.0857    0.9626
     52.00    1.0798    0.9908
     53.00    1.0731    1.0187
     54.00    1.0655    1.0463
     55.00    1.0570    1.0736
     56.00    1.0475    1.1005
     57.00    1.0372    1.1271
     58.00    1.0258    1.1532
     59.00    1.0135    1.1789
     60.00    1.0002    1.2041
     61.00    0.9859    1.2288
     62.00    0.9706    1.2529
     63.00    0.9543    1.2765
     64.00    0.9371    1.2995
     65.00    0.9188    1.3219
